iter	Logloss
0	0.4762453161
1	0.3884487461
2	0.3439062399
3	0.317055157
4	0.2970098219
5	0.2762355063
6	0.2556074965
7	0.2442400887
8	0.2314434653
9	0.2251513903
10	0.2132696409
11	0.2093143
12	0.2047372247
13	0.1975679678
14	0.1957132696
15	0.1903950618
16	0.187648895
17	0.1864388385
18	0.1828097496
19	0.1791948096
20	0.1777476384
21	0.1767460241
22	0.1746380401
23	0.1732338707
24	0.1715571387
25	0.1694869371
26	0.1660882331
27	0.1637101958
28	0.1618995117
29	0.1600853763
30	0.1589606793
31	0.1575005096
32	0.1558571819
33	0.1553130728
34	0.1548157128
35	0.1543934932
36	0.153305154
37	0.1529965105
38	0.1514348321
39	0.1509267883
40	0.15049643
41	0.1501974605
42	0.1490555914
43	0.1483045241
44	0.1474972497
45	0.1469209721
46	0.146529711
47	0.1461775986
48	0.1457157462
49	0.1451182067
50	0.1448732553
51	0.1444174033
52	0.1439625524
53	0.1433551586
54	0.1431483223
55	0.1429929426
56	0.1423334121
57	0.1421677989
58	0.1419686228
59	0.1416205344
60	0.1414140823
61	0.1409145121
62	0.1407392924
63	0.1403349243
64	0.1401901893
65	0.1401030501
66	0.1394953487
67	0.1393948838
68	0.1391831213
69	0.138620611
70	0.1379926934
71	0.1377764733
72	0.1375993523
73	0.1374263836
74	0.1373480809
75	0.1369411439
76	0.1367778575
77	0.1365484497
78	0.1364410771
79	0.1363241444
80	0.1361948967
81	0.1360290761
82	0.1358665762
83	0.1357871813
84	0.1356358306
85	0.1352551714
86	0.1350983421
87	0.1349617052
88	0.1348695542
89	0.134736501
90	0.1344641537
91	0.1343551794
92	0.1342389591
93	0.1338649222
94	0.133548987
95	0.1334211002
96	0.1334101615
97	0.1332560832
98	0.1331066897
99	0.133047838
