iter	Passed	Remaining
0	68	6783
1	80	3948
2	93	3011
3	103	2487
4	113	2158
5	126	1979
6	137	1824
7	147	1700
8	160	1619
9	170	1530
10	182	1479
11	194	1425
12	205	1378
13	218	1343
14	229	1300
15	239	1258
16	249	1219
17	260	1184
18	270	1154
19	282	1130
20	292	1100
21	303	1076
22	314	1051
23	323	1025
24	332	998
25	342	973
26	351	950
27	361	930
28	372	912
29	382	892
30	391	871
31	401	852
32	411	834
33	420	816
34	429	798
35	439	781
36	450	766
37	460	750
38	470	736
39	480	720
40	490	706
41	501	692
42	514	681
43	524	667
44	534	653
45	547	642
46	558	630
47	570	617
48	582	606
49	594	594
50	606	583
51	616	569
52	627	556
53	637	543
54	647	530
55	658	517
56	670	505
57	680	493
58	691	480
59	701	467
60	712	455
61	724	443
62	734	431
63	743	418
64	753	405
65	762	392
66	771	380
67	781	367
68	790	355
69	801	343
70	811	331
71	820	319
72	830	307
73	840	295
74	849	283
75	859	271
76	870	259
77	878	247
78	887	236
79	896	224
80	905	212
81	915	201
82	925	189
83	934	177
84	943	166
85	953	155
86	962	143
87	972	132
88	981	121
89	991	110
90	1002	99
91	1013	88
92	1024	77
93	1036	66
94	1048	55
95	1058	44
96	1069	33
97	1079	22
98	1090	11
99	1100	0
