fold,k_frac,dollar_accept_rate,sortino
0,0.05,0.0601,0.2353
0,0.1,0.1165,0.2529
0,0.15,0.1711,0.1834
0,0.2,0.2234,0.3944
0,0.25,0.2748,0.529
0,0.3,0.3247,0.7923
0,0.35,0.3731,0.1897
0,0.4,0.4212,0.181
0,0.45,0.4687,0.1695
0,0.5,0.516,0.1838
0,0.55,0.5624,0.1654
0,0.6,0.609,0.1713
0,0.65,0.6561,0.1707
0,0.7,0.7038,0.5048
0,0.75,0.7516,0.5233
0,0.8,0.8002,0.5268
0,0.85,0.8493,0.4959
0,0.9,0.8991,0.4879
0,0.95,0.9492,0.4894
0,1.0,1.0,0.9976
1,0.05,0.06,0.2248
1,0.1,0.1167,0.2084
1,0.15,0.1711,0.208
1,0.2,0.2242,0.215
1,0.25,0.2757,0.4203
1,0.3,0.3252,0.3783
1,0.35,0.3739,0.4532
1,0.4,0.4224,0.5257
1,0.45,0.47,0.4855
1,0.5,0.517,0.5943
1,0.55,0.5635,0.5783
1,0.6,0.6107,0.7027
1,0.65,0.6572,0.6988
1,0.7,0.7043,0.7397
1,0.75,0.7524,0.7214
1,0.8,0.801,0.8715
1,0.85,0.8497,0.9407
1,0.9,0.8996,0.9639
1,0.95,0.9489,0.9212
1,1.0,1.0,0.913
2,0.05,0.0599,0.1444
2,0.1,0.1161,0.2652
2,0.15,0.1706,0.8727
2,0.2,0.2237,0.5055
2,0.25,0.2757,0.5457
2,0.3,0.326,0.7262
2,0.35,0.3749,0.5879
2,0.4,0.4227,0.6743
2,0.45,0.4702,0.7252
2,0.5,0.5172,0.8135
2,0.55,0.5639,0.783
2,0.6,0.6111,0.8566
2,0.65,0.6575,1.01
2,0.7,0.7051,1.13
2,0.75,0.7526,1.0824
2,0.8,0.801,0.984
2,0.85,0.8496,0.9841
2,0.9,0.8995,1.0128
2,0.95,0.949,1.0548
2,1.0,1.0,1.136
3,0.05,0.0605,3.1718
3,0.1,0.1177,1.8887
3,0.15,0.172,0.5731
3,0.2,0.2243,0.3854
3,0.25,0.2756,1.0296
3,0.3,0.3252,0.6407
3,0.35,0.3735,0.7894
3,0.4,0.4211,1.0222
3,0.45,0.4684,1.0677
3,0.5,0.5156,1.1618
3,0.55,0.5624,1.1686
3,0.6,0.6095,1.1582
3,0.65,0.6561,1.2198
3,0.7,0.7031,1.3113
3,0.75,0.751,1.2791
3,0.8,0.7995,1.31
3,0.85,0.8484,1.2138
3,0.9,0.8986,1.2682
3,0.95,0.9488,1.2682
3,1.0,1.0,1.4813
4,0.05,0.0595,0.043
4,0.1,0.1163,0.2058
4,0.15,0.1701,0.4012
4,0.2,0.2228,0.6071
4,0.25,0.2741,0.7208
4,0.3,0.324,0.8501
4,0.35,0.373,1.1195
4,0.4,0.4216,1.1544
4,0.45,0.4692,0.6841
4,0.5,0.5162,0.7263
4,0.55,0.5634,0.7175
4,0.6,0.61,0.7621
4,0.65,0.6567,0.7908
4,0.7,0.7036,0.8349
4,0.75,0.751,0.8172
4,0.8,0.7997,0.8933
4,0.85,0.8488,0.9196
4,0.9,0.8984,0.9808
4,0.95,0.9485,0.8264
4,1.0,1.0,0.8045
