int_rate,sub_grade,home_ownership,revol_util,addr_state,inq_last_6mths,dti,term_months,int_rate_shap,sub_grade_shap,home_ownership_shap,revol_util_shap,addr_state_shap,inq_last_6mths_shap,dti_shap,term_months_shap
7.35,A4,MORTGAGE,25.5,CA,0.0,26.75,36,-0.02290212,0.004853051,0.008247958,-0.008737559,-0.0042659794,0.0041033975,-0.0062136026,-0.0033956468
7.35,A4,OWN,17.1,FL,0.0,14.51,36,-0.02075399,0.008201165,0.00031921422,-0.00860402,-0.007164157,0.0067888065,0.0034880254,-0.0030266899
8.6,A4,MORTGAGE,12.4,CA,2.0,10.53,36,-0.006963253,0.00660983,0.006485261,-0.014400079,-0.0054640123,-0.011792397,0.0057713683,-0.0025577764
17.57,D4,MORTGAGE,76.0,NY,1.0,13.4,36,-0.00729884,0.005979978,0.007987932,0.007635468,-0.0037576247,-0.004411368,0.008110649,-0.0036378067
16.99,D1,MORTGAGE,62.1,NJ,0.0,32.39,36,0.00041269502,0.009255879,0.008440448,0.004374789,-0.003883269,0.004487798,-0.013293525,-0.0046007596
8.18,B1,MORTGAGE,43.9,FL,0.0,21.24,36,-0.017614508,0.007529799,0.0067056143,-0.0015461086,-0.0062460024,0.0044733062,-0.0024785837,-0.0040517207
13.11,B4,MORTGAGE,33.0,TX,1.0,23.07,60,0.01817497,0.019819552,0.013542112,-0.013189416,0.0069417497,-0.0060807536,-0.006431285,0.017104939
10.91,B4,MORTGAGE,52.0,AZ,0.0,20.1,36,-0.052469794,0.0064314855,0.0071294266,0.0017671234,0.0050574127,0.0033710904,-0.0013326685,-0.0042956905
5.32,A1,MORTGAGE,57.5,VA,0.0,14.57,36,-0.0213327,-0.005361942,0.0047526136,0.0016277438,-0.00055456744,0.0034386935,0.003464205,-0.0049878736
13.11,B4,RENT,69.2,MI,0.0,17.48,60,0.017137604,0.016114164,-0.013243392,0.012092159,-0.0010112356,0.009130258,0.0022681358,0.013790025
22.45,F1,RENT,78.3,OH,1.0,33.82,36,-0.01887156,-0.015008261,-0.014797942,0.017847545,-0.008492554,-0.006995221,-0.024045456,-0.0005751796
12.74,C1,MORTGAGE,66.2,RI,1.0,5.11,36,-0.013260102,0.007920122,0.008156151,0.004892522,0.0038793676,-0.0017581003,0.0077897552,-0.006284539
6.99,A2,MORTGAGE,61.7,NY,1.0,6.14,36,-0.020183682,-0.003293087,0.005279054,0.004688912,-0.0027955342,-0.001956008,0.0069519277,-0.0055179903
13.99,C4,MORTGAGE,85.3,MA,0.0,23.35,36,-0.010098092,0.0017035169,0.008485589,0.010067099,-0.001826288,0.0067454353,-0.0045218235,-0.0044575175
11.99,B5,MORTGAGE,45.1,CO,0.0,21.47,36,-0.016519686,0.0037688483,0.007814721,-0.0007270803,0.010515406,0.007012064,-0.0037559401,-0.0043158843
6.17,A3,RENT,8.5,NY,1.0,1.72,36,-0.018078854,0.0018938512,-0.005889549,-0.011597042,-0.00068953325,-0.0029195515,0.00979124,-0.0035532664
18.99,E1,MORTGAGE,56.8,NC,0.0,37.35,60,-0.0051725693,0.0077071055,0.015244694,0.0021286341,-0.005804859,0.0075580915,-0.01788924,0.017794631
6.03,A1,MORTGAGE,15.1,OK,0.0,18.55,36,-0.012306779,-0.0018113278,0.005667949,-0.01081294,-0.0075265355,0.0044456944,-7.209546e-05,-0.0035314811
13.98,C3,RENT,55.7,WA,1.0,4.92,36,-0.00363785,0.007818277,-0.009977873,0.0030649034,0.0076937024,-0.002903195,0.011181458,-0.0031116856
16.02,D5,MORTGAGE,34.5,UT,1.0,13.29,60,-0.021124613,-0.014319699,0.00944373,-0.014416476,-0.0028068002,-0.00604836,0.00720806,0.015942989
25.65,F3,RENT,72.4,AL,2.0,19.49,36,0.0052887797,0.01145317,-0.0010560119,0.004861875,0.0023119177,-0.004100352,-0.0023006531,-0.0002266596
6.89,A3,OWN,33.2,TX,0.0,22.17,36,-0.012427401,0.0046479586,-0.00013966914,-0.0075406567,0.00021810696,0.00563142,-0.0020652446,-0.0027293721
7.89,A5,RENT,24.7,SC,0.0,11.52,36,-0.014349331,-0.0008528585,-0.0066507296,-0.007834225,0.012383026,0.004057196,0.0045349835,-0.0029809796
7.14,A3,MORTGAGE,15.8,WA,0.0,11.31,36,-0.01882046,0.00051807286,0.0043833344,-0.01115807,0.007255392,0.004567797,0.003457272,-0.0035074896
11.53,B5,MORTGAGE,61.5,FL,0.0,35.86,36,-0.003711081,0.0068811793,0.0093443245,0.00644011,-0.009240411,0.0060572396,-0.014044744,-0.0046289023
17.27,D3,OWN,62.1,GA,0.0,26.35,36,0.0040676044,0.016097099,0.0006524761,0.011221379,0.020227384,0.00859589,-0.006641022,-0.0023990378
13.11,B4,RENT,34.3,CO,1.0,30.43,60,0.013818031,0.022492465,-0.0169665,-0.009108864,0.01319782,-0.007044731,-0.011838327,0.007989318
15.59,C5,RENT,45.0,ID,1.0,13.9,36,0.015815675,-0.00184594,-0.0068765325,-0.00080296985,0.0032301706,-0.0037561345,0.007574423,-0.0030295386
17.99,D2,MORTGAGE,56.3,CT,0.0,16.65,36,0.0066736243,0.0031356118,0.007633307,-0.0007927121,0.0014117802,0.0075267768,0.005025096,-0.005550308
12.12,B3,MORTGAGE,83.6,MN,0.0,15.14,36,0.008172471,0.02360131,0.006077442,0.0067854617,-0.0021462974,0.009759424,0.004742112,-0.0061437655
17.86,D5,MORTGAGE,18.0,NJ,0.0,12.69,36,-0.008879087,0.0041705067,0.005944366,-0.017120602,-0.0008825191,0.008841517,0.011518643,-0.00268445
18.99,E1,RENT,83.0,CA,0.0,15.11,36,-0.0059253355,-0.010149044,-0.0086646555,0.014167903,-0.011160666,0.009077582,0.00752904,-0.004737374
