,mean_abs_shap
int_rate,0.01562
sub_grade,0.00988
home_ownership,0.00841
revol_util,0.008
addr_state,0.00792
inq_last_6mths,0.00743
dti,0.00711
term_months,0.00669
fico_avg,0.00626
mths_since_last_delinq,0.00592
credit_history_months,0.00502
emp_length_num,0.00492
installment,0.00465
annual_inc,0.00463
initial_list_status,0.0046
loan_amnt,0.0045
revol_bal,0.00331
total_acc,0.00281
purpose,0.00279
mths_since_last_record,0.00268
mths_since_last_major_derog,0.00241
open_acc,0.00188
grade,0.00184
verification_status,0.00171
mths_since_recent_bc_dlq,0.00102
revol_bal_joint,0.00069
delinq_2yrs,0.0005
collections_12_mths_ex_med,0.00029
dti_joint,0.00026
pub_rec,0.00017
annual_inc_joint,0.00014
tax_liens,0.00013
verification_status_joint,8e-05
delinq_amnt,4e-05
chargeoff_within_12_mths,3e-05
application_type,0.0
policy_code,0.0
