변수명,2007-2010_결측률,2016-2018_결측률,차이,era_편향_변수
mo_sin_rcnt_rev_tl_op,1.0,0.0,1.0,True
tot_cur_bal,1.0,0.0,1.0,True
acc_open_past_24mths,1.0,0.0,1.0,True
tot_hi_cred_lim,1.0,0.0,1.0,True
mo_sin_old_rev_tl_op,1.0,0.0,1.0,True
total_bal_ex_mort,1.0,0.0,1.0,True
total_bc_limit,1.0,0.0,1.0,True
total_rev_hi_lim,1.0,0.0,1.0,True
mo_sin_rcnt_tl,1.0,0.0,1.0,True
total_il_high_credit_limit,1.0,0.0,1.0,True
mort_acc,1.0,0.0,1.0,True
num_accts_ever_120_pd,1.0,0.0,1.0,True
num_actv_bc_tl,1.0,0.0,1.0,True
num_actv_rev_tl,1.0,0.0,1.0,True
num_bc_sats,1.0,0.0,1.0,True
num_bc_tl,1.0,0.0,1.0,True
num_il_tl,1.0,0.0,1.0,True
num_op_rev_tl,1.0,0.0,1.0,True
num_rev_accts,1.0,0.0,1.0,True
num_rev_tl_bal_gt_0,1.0,0.0,1.0,True
num_sats,1.0,0.0,1.0,True
num_tl_30dpd,1.0,0.0,1.0,True
num_tl_90g_dpd_24m,1.0,0.0,1.0,True
num_tl_op_past_12m,1.0,0.0,1.0,True
pct_tl_nvr_dlq,1.0,0.0,1.0,True
tot_coll_amt,1.0,0.0,1.0,True
avg_cur_bal,1.0,0.0,1.0,True
open_acc_6m,1.0,0.0001,0.9999,True
open_act_il,1.0,0.0001,0.9999,True
open_il_12m,1.0,0.0001,0.9999,True
open_il_24m,1.0,0.0001,0.9999,True
inq_last_12m,1.0,0.0001,0.9999,True
total_bal_il,1.0,0.0001,0.9999,True
total_cu_tl,1.0,0.0001,0.9999,True
open_rv_12m,1.0,0.0001,0.9999,True
open_rv_24m,1.0,0.0001,0.9999,True
max_bal_bc,1.0,0.0001,0.9999,True
inq_fi,1.0,0.0001,0.9999,True
all_util,1.0,0.0002,0.9998,True
mths_since_recent_bc,1.0,0.0126,0.9874,True
bc_open_to_buy,1.0,0.0133,0.9867,True
percent_bc_gt_75,1.0,0.0134,0.9866,True
bc_util,1.0,0.0139,0.9861,True
mo_sin_old_il_acct,1.0,0.0334,0.9666,True
mths_since_rcnt_il,1.0,0.0335,0.9665,True
num_tl_120dpd_2m,1.0,0.0399,0.9601,True
mths_since_recent_inq,1.0,0.1093,0.8907,True
il_util,1.0,0.1486,0.8514,True
mths_since_recent_revol_delinq,1.0,0.667,0.333,True
pub_rec_bankruptcies,0.3258,0.0,0.3258,True
mths_since_last_major_derog,1.0,0.7303,0.2697,False
mths_since_recent_bc_dlq,1.0,0.7684,0.2316,False
mths_since_last_record,0.6389,0.8229,0.184,False
mths_since_last_delinq,0.4343,0.5096,0.0752,False
emp_length_num,0.0076,0.0788,0.0712,False
annual_inc_joint,1.0,0.9349,0.0651,False
dti_joint,1.0,0.9349,0.0651,False
verification_status_joint,1.0,0.9353,0.0647,False
collections_12_mths_ex_med,0.0622,0.0,0.0622,False
chargeoff_within_12_mths,0.0622,0.0,0.0622,False
revol_bal_joint,1.0,0.943,0.057,False
tax_liens,0.0476,0.0,0.0476,False
revol_util,0.0138,0.001,0.0128,False
credit_history_months,0.0106,0.0,0.0106,False
total_acc,0.0106,0.0,0.0106,False
delinq_2yrs,0.0106,0.0,0.0106,False
inq_last_6mths,0.0106,0.0,0.0106,False
open_acc,0.0106,0.0,0.0106,False
delinq_amnt,0.0106,0.0,0.0106,False
pub_rec,0.0106,0.0,0.0106,False
annual_inc,0.0013,0.0,0.0013,False
dti,0.0,0.0008,0.0008,False
policy_code,0.0,0.0,0.0,False
term_months,0.0,0.0,0.0,False
loan_amnt,0.0,0.0,0.0,False
int_rate,0.0,0.0,0.0,False
application_type,0.0,0.0,0.0,False
initial_list_status,0.0,0.0,0.0,False
revol_bal,0.0,0.0,0.0,False
addr_state,0.0,0.0,0.0,False
purpose,0.0,0.0,0.0,False
verification_status,0.0,0.0,0.0,False
home_ownership,0.0,0.0,0.0,False
sub_grade,0.0,0.0,0.0,False
grade,0.0,0.0,0.0,False
installment,0.0,0.0,0.0,False
fico_avg,0.0,0.0,0.0,False
