sub_grade,대출건수,총투자금액,달러인수율
A1,21854.0,306567600.0,0.9746
A2,17408.0,235767050.0,0.975
A3,17741.0,242487675.0,0.97
A4,23897.0,336059900.0,0.9735
A5,28966.0,407060150.0,0.9632
B1,33732.0,435793900.0,0.9585
B2,33709.0,435440725.0,0.9694
B3,36853.0,486183625.0,0.9605
B4,38396.0,496998375.0,0.9265
B5,38779.0,486452850.0,0.9451
C1,38279.0,491749875.0,0.9105
C2,34357.0,450986375.0,0.8958
C3,31625.0,433647950.0,0.8926
C4,31002.0,439740425.0,0.8741
C5,27594.0,384439100.0,0.8534
D1,21493.0,305602450.0,0.8664
D2,18620.0,264020300.0,0.7988
D3,15731.0,228845175.0,0.8333
D4,14331.0,219505550.0,0.8238
D5,11553.0,182363925.0,0.7644
E1,9404.0,154439450.0,0.771
E2,8694.0,144895550.0,0.7145
E3,6972.0,118051375.0,0.7353
E4,5629.0,99028300.0,0.6994
E5,4742.0,83559825.0,0.6813
F1,3300.0,58108325.0,0.7625
F2,2465.0,45353025.0,0.6862
F3,2009.0,35730700.0,0.6987
F4,1549.0,27989050.0,0.627
F5,1249.0,24054325.0,0.5944
G1,931.0,18176125.0,0.593
G2,688.0,12930575.0,0.6234
G3,460.0,9056625.0,0.5933
G4,327.0,6415700.0,0.6253
G5,320.0,6501175.0,0.3826
