구간,대출건수,총투자금액,달러인수율,변수
"(-1.001, 10.53]",117068.0,1527132825.0,0.9166,DTI
"(10.53, 15.36]",117006.0,1643489200.0,0.9346,DTI
"(15.36, 20.02]",116646.0,1660063900.0,0.9177,DTI
"(20.02, 25.71]",116970.0,1660271150.0,0.8872,DTI
"(25.71, 999.0]",116835.0,1621028800.0,0.8104,DTI
"(621.999, 672.0]",156034.0,1923656050.0,0.8338,FICO
"(672.0, 682.0]",90347.0,1206178625.0,0.8752,FICO
"(682.0, 697.0]",112255.0,1588779875.0,0.9068,FICO
"(697.0, 722.0]",125956.0,1898677175.0,0.9276,FICO
"(722.0, 847.5]",100067.0,1496711375.0,0.9253,FICO
"(-0.001, 29.7]",117188.0,1406528925.0,0.8163,신용카드 사용률
"(29.7, 45.4]",116611.0,1545587750.0,0.8775,신용카드 사용률
"(45.4, 59.6]",116806.0,1656604725.0,0.9004,신용카드 사용률
"(59.6, 75.3]",117287.0,1744907125.0,0.9202,신용카드 사용률
"(75.3, 892.3]",116368.0,1756101100.0,0.935,신용카드 사용률
"(5.319, 8.39]",119348.0,1650565850.0,0.9698,금리
"(8.39, 11.44]",115305.0,1493849900.0,0.9447,금리
"(11.44, 13.49]",119647.0,1557479200.0,0.9306,금리
"(13.49, 16.29]",113817.0,1563399975.0,0.8742,금리
"(16.29, 30.99]",116542.0,1848708175.0,0.7673,금리
