발행월,전량 투자 (현행),Grade A-C만,모델 top-90%
2007-06-01,0.0111,0.0073,0.0125
2007-07-01,-0.0501,-0.0122,-0.0563
2007-08-01,-0.0923,-0.0198,-0.099
2007-09-01,-0.0225,-0.0381,-0.0254
2007-10-01,-0.0288,-0.0075,-0.0241
2007-11-01,-0.0348,-0.0229,-0.0469
2007-12-01,-0.0014,-0.0071,0.0059
2008-01-01,-0.0269,-0.0159,-0.0261
2008-02-01,-0.0315,-0.0386,-0.0278
2008-03-01,-0.0294,-0.0211,-0.0291
2008-04-01,0.0153,0.0136,0.0187
2008-05-01,0.0033,0.0072,0.0025
2008-06-01,-0.0573,-0.0569,-0.0668
2008-07-01,-0.0159,-0.0257,-0.0164
2008-08-01,0.0024,-0.0197,0.0091
2008-09-01,-0.0041,-0.0105,-0.0072
2008-10-01,-0.0042,-0.0049,-0.0027
2008-11-01,-0.0108,0.0149,-0.0131
2008-12-01,-0.0061,-0.002,-0.0085
2009-01-01,0.0066,-0.0023,0.0049
2009-02-01,0.0351,0.0234,0.0353
2009-03-01,0.04,0.0331,0.0402
2009-04-01,0.0385,0.0388,0.0394
2009-05-01,0.0339,0.0358,0.0342
2009-06-01,0.0043,0.0059,0.0038
2009-07-01,0.0306,0.0315,0.0303
2009-08-01,0.0131,0.0188,0.012
2009-09-01,0.0215,0.0291,0.0215
2009-10-01,0.0019,0.0095,0.0001
2009-11-01,0.019,0.0171,0.0181
2009-12-01,0.0414,0.0372,0.0421
2010-01-01,0.0245,0.022,0.0247
2010-02-01,0.0358,0.0377,0.0364
2010-03-01,0.0302,0.0245,0.0309
2010-04-01,0.0227,0.0215,0.0226
2010-05-01,0.0168,0.0228,0.0172
2010-06-01,0.0347,0.0302,0.035
2010-07-01,0.0416,0.0383,0.0424
2010-08-01,0.04,0.0427,0.041
2010-09-01,0.038,0.0302,0.0394
2010-10-01,0.0371,0.0337,0.039
2010-11-01,0.0226,0.018,0.0225
2010-12-01,0.0316,0.0266,0.0328
2011-01-01,0.0333,0.0219,0.034
2011-02-01,0.0343,0.026,0.036
2011-03-01,0.0394,0.0256,0.0409
2011-04-01,0.0313,0.0188,0.032
2011-05-01,0.0286,0.0261,0.0295
2011-06-01,0.0388,0.0307,0.0398
2011-07-01,0.0405,0.0349,0.0417
2011-08-01,0.0402,0.0408,0.0422
2011-09-01,0.0345,0.0344,0.035
2011-10-01,0.0423,0.0355,0.0428
2011-11-01,0.0354,0.0333,0.0357
2011-12-01,0.0397,0.0315,0.0409
2012-01-01,0.0378,0.0371,0.0387
2012-02-01,0.0331,0.0307,0.0343
